,name,id,FDA Approved
Gene::5747,PTK2,148,
Gene::2057,EPOR,149,
Gene::9146,HGS,150,
Gene::1019,CDK4,151,
Gene::1021,CDK6,152,
Gene::2648,KAT2A,153,
Gene::5894,RAF1,154,
Gene::4988,OPRM1,155,
Gene::5156,PDGFRA,156,
Gene::134,ADORA1,157,
Gene::2597,GAPDH,158,
Gene::3064,HTT,159,
Gene::1969,EPHA2,160,
Gene::8678,BECN1,161,
Gene::3480,IGF1R,162,
Gene::2264,FGFR4,163,
Gene::3708,ITPR1,164,
Gene::960,CD44,165,
Gene::7015,TERT,166,
Gene::3781,KCNN2,167,
Gene::3191,HNRNPL,168,
Gene::6733,SRPK2,169,
Gene::4128,MAOA,170,
Gene::2,A2M,171,
Gene::4129,MAOB,172,
Gene::2562,GABRB3,173,
Gene::5515,PPP2CA,174,
Gene::2559,GABRA6,175,
Gene::2561,GABRB2,176,
Gene::23070,CMTR1,177,
Gene::8346,HIST1H2BI,178,
Gene::5573,PRKAR1A,179,
Gene::3376,IARS,180,
Gene::5447,POR,181,
Gene::5351,PLOD1,182,
Gene::5160,PDHA1,183,
Gene::328,APEX1,184,
Gene::1571,CYP2E1,185,
Gene::4728,NDUFS8,186,
Gene::1548,CYP2A6,187,
Gene::5162,PDHB,188,
Gene::4722,NDUFS3,189,
Gene::1586,CYP17A1,190,
Gene::4715,NDUFB9,191,
Gene::1559,CYP2C9,192,
Gene::4719,NDUFS1,193,
Gene::8985,PLOD3,194,
Gene::374291,NDUFS7,195,
Gene::1544,CYP1A2,196,
Gene::526,ATP6V1B2,197,
Gene::1727,CYB5R3,198,
Gene::1565,CYP2D6,199,
Gene::4714,NDUFB8,200,
Gene::3098,HK1,201,
Gene::10857,PGRMC1,202,
Gene::523,ATP6V1A,203,
Gene::7388,UQCRH,204,
Gene::54205,CYCS,205,
Gene::444,ASPH,206,
Gene::7384,UQCRC1,207,
Gene::488,ATP2A2,208,
Gene::4704,NDUFA9,209,
Gene::10165,SLC25A13,210,
Gene::1557,CYP2C19,211,
Gene::4723,NDUFV1,212,
Gene::3162,HMOX1,213,
Gene::7037,TFRC,214,
Gene::1537,CYC1,215,
Gene::5033,P4HA1,216,
Gene::55157,DARS2,217,
Gene::1576,CYP3A4,218,
Gene::7419,VDAC3,219,
Gene::7385,UQCRC2,220,
Gene::7415,VCP,221,
Gene::11331,PHB2,222,
Gene::1528,CYB5A,223,
Gene::4513,COX2,224,
Gene::1312,COMT,225,
Gene::3163,HMOX2,226,
Gene::4729,NDUFV2,227,
Gene::348,APOE,228,
Gene::23530,NNT,229,
Gene::4702,NDUFA8,230,
Gene::563,AZGP1,231,
Gene::4363,ABCC1,232,
Gene::6462,SHBG,233,
Gene::4790,NFKB1,234,
Gene::5915,RARB,235,
Gene::6605,SMARCE1,236,
Gene::6256,RXRA,237,
Gene::1051,CEBPB,238,
Gene::8648,NCOA1,239,
Gene::5914,RARA,240,
Gene::7067,THRA,241,
Gene::6258,RXRG,242,
Gene::6257,RXRB,243,
Gene::3312,HSPA8,244,
Gene::1832,DSP,245,
Gene::5142,PDE4B,246,
Gene::6711,SPTBN1,247,
Gene::55869,HDAC8,248,
Gene::5970,RELA,249,
Gene::5569,PKIA,250,
Gene::2893,GRIA4,251,
Gene::3040,HBA2,252,
Gene::5170,PDPK1,253,
Gene::15,AANAT,254,
Gene::31,ACACA,255,
Gene::5127,CDK16,256,
Gene::1812,DRD1,257,
Gene::10383,TUBB4B,258,
Gene::1859,DYRK1A,259,
Gene::775,CACNA1C,260,
Gene::2572,GAD2,261,
Gene::2247,FGF2,262,
Gene::10369,CACNG2,263,
Gene::150094,SIK1,264,
Gene::596,BCL2,265,
Gene::3329,HSPD1,266,
Gene::10092,ARPC5,267,
Gene::783,CACNB2,268,
Gene::5139,PDE3A,269,
Gene::7166,TPH1,270,
Gene::7448,VTN,271,
Gene::7161,TP73,272,
Gene::27232,GNMT,273,
Gene::117159,DCD,274,
Gene::240,ALOX5,275,
Gene::3172,HNF4A,276,
Gene::387,RHOA,277,
Gene::8671,SLC4A4,278,
Gene::6853,SYN1,279,
Gene::3757,KCNH2,280,
Gene::1072,CFL1,281,
Gene::9221,NOLC1,282,
Gene::6476,SI,283,
Gene::6608,SMO,284,
Gene::4842,NOS1,285,
Gene::7358,UGDH,286,
Gene::595,CCND1,287,
Gene::6262,RYR2,288,
Gene::19,ABCA1,289,
Gene::41,ASIC1,290,
Gene::111,ADCY5,291,
Gene::3984,LIMK1,292,
Gene::2908,NR3C1,293,
Gene::2890,GRIA1,294,
Gene::1385,CREB1,295,
Gene::5144,PDE4D,296,
Gene::673,BRAF,297,
Gene::2571,GAD1,298,
Gene::790,CAD,299,
Gene::4133,MAP2,300,
Gene::7531,YWHAE,301,
Gene::9311,ASIC3,302,
Gene::7184,HSP90B1,303,
Gene::3320,HSP90AA1,304,
Gene::5140,PDE3B,305,
Gene::6261,RYR1,306,
Gene::6514,SLC2A2,307,
Gene::293,SLC25A6,308,
Gene::2569,GABRR1,309,
Gene::5577,PRKAR2B,310,
Gene::7054,TH,311,
Gene::3784,KCNQ1,312,
Gene::6790,AURKA,313,
Gene::3674,ITGA2B,314,
Gene::3706,ITPKA,315,
Gene::3184,HNRNPD,316,
Gene::3091,HIF1A,317,
Gene::6915,TBXA2R,318,
Gene::572,BAD,319,
Gene::1080,CFTR,320,
Gene::3768,KCNJ12,321,
Gene::10109,ARPC2,322,
Gene::10094,ARPC3,323,
Gene::2990,GUSB,324,
Gene::4255,MGMT,325,
Gene::7203,CCT3,326,
Gene::8826,IQGAP1,327,
Gene::9131,AIFM1,328,
Gene::7431,VIM,329,
Gene::3156,HMGCR,330,
Gene::55300,PI4K2B,331,
Gene::207,AKT1,332,
Gene::846,CASR,333,
Gene::5329,PLAUR,334,
Gene::1432,MAPK14,335,
Gene::6337,SCNN1A,336,
Gene::6338,SCNN1B,337,
Gene::23410,SIRT3,338,
Gene::8724,SNX3,339,
Gene::29924,EPN1,340,
Gene::6340,SCNN1G,341,
Gene::1457,CSNK2A1,342,
Gene::6584,SLC22A5,343,
Gene::3157,HMGCS1,344,
Gene::51493,RTCB,345,
Gene::3028,HSD17B10,346,
Gene::5460,POU5F1,347,
Gene::1738,DLD,348,
Gene::28960,DCPS,349,
Gene::5591,PRKDC,350,
Gene::768,CA9,351,
Gene::7416,VDAC1,352,
Gene::5859,QARS,353,
Gene::51185,CRBN,354,
Gene::4836,NMT1,355,
Gene::3187,HNRNPH1,356,
Gene::6646,SOAT1,357,
Gene::2224,FDPS,358,
Gene::326625,MMAB,359,
Gene::11112,HIBADH,360,
Gene::5518,PPP2R1A,361,
Gene::9520,NPEPPS,362,
Gene::159,ADSS,363,
Gene::2539,G6PD,364,
Gene::51388,NIP7,365,
Gene::2731,GLDC,366,
Gene::8192,CLPP,367,
Gene::2876,GPX1,368,
Gene::2617,GARS,369,
Gene::4830,NME1,370,
Gene::1491,CTH,371,
Gene::211,ALAS1,372,
Gene::2260,FGFR1,373,
Gene::6678,SPARC,374,
Gene::3615,IMPDH2,375,
Gene::2053,EPHX2,376,
Gene::6240,RRM1,377,
Gene::4831,NME2,378,
Gene::3417,IDH1,379,
Gene::6652,SORD,380,
Gene::5328,PLAU,381,
Gene::6768,ST14,382,
Gene::3265,HRAS,383,
Gene::5604,MAP2K1,384,
Gene::3482,IGF2R,385,
Gene::5340,PLG,386,
Gene::10863,ADAM28,387,
Gene::1514,CTSL,388,
Gene::5054,SERPINE1,389,
Gene::55034,MOCOS,390,
Gene::5327,PLAT,391,
Gene::1508,CTSB,392,
Gene::3082,HGF,393,
Gene::4036,LRP2,394,
Gene::5345,SERPINF2,395,
Gene::10747,MASP2,396,
Gene::8573,CASK,397,
Gene::8986,RPS6KA4,398,
Gene::23539,SLC16A8,399,
Gene::4153,MBL2,400,
Gene::710,SERPING1,401,
Gene::1105,CHD1,402,
Gene::8639,AOC3,403,
Gene::332,BIRC5,404,
Gene::1644,DDC,405,
Gene::5947,RBP1,406,
Gene::9227,LRAT,407,
Gene::8517,IKBKG,408,
Gene::1725,DHPS,409,
Gene::1431,CS,410,
Gene::4191,MDH2,411,
Gene::4190,MDH1,412,
Gene::112399,EGLN3,413,
Gene::51056,LAP3,414,
Gene::2821,GPI,415,
Gene::7018,TF,416,
Gene::6648,SOD2,417,
Gene::6389,SDHA,418,
Gene::4942,OAT,419,
Gene::3315,HSPB1,420,
Gene::162466,PHOSPHO1,421,
Gene::5019,OXCT1,422,
Gene::51166,AADAT,423,
Gene::2936,GSR,424,
Gene::2026,ENO2,425,
Gene::7297,TYK2,426,
Gene::1892,ECHS1,427,
Gene::1503,CTPS1,428,
Gene::51,ACOX1,429,
Gene::308,ANXA5,430,
Gene::6390,SDHB,431,
Gene::10587,TXNRD2,432,
Gene::1737,DLAT,433,
Gene::3692,EIF6,434,
Gene::1632,ECI1,435,
Gene::3419,IDH3A,436,
Gene::8801,SUCLG2,437,
Gene::7386,UQCRFS1,438,
Gene::6472,SHMT2,439,
Gene::382,ARF6,440,
Gene::226,ALDOA,441,
Gene::6446,SGK1,442,
Gene::7529,YWHAB,443,
Gene::5226,PGD,444,
Gene::231,AKR1B1,445,
Gene::7167,TPI1,446,
Gene::2879,GPX4,447,
Gene::2027,ENO3,448,
Gene::3094,HINT1,449,
Gene::10963,STIP1,450,
Gene::9588,PRDX6,451,
Gene::2739,GLO1,452,
Gene::2173,FABP7,453,
Gene::2023,ENO1,454,
Gene::5375,PMP2,455,
Gene::5223,PGAM1,456,
Gene::3336,HSPE1,457,
Gene::5230,PGK1,458,
Gene::7086,TKT,459,
Gene::5962,RDX,460,
Gene::2171,FABP5,461,
Gene::5110,PCMT1,462,
Gene::18,ABAT,463,
Gene::6647,SOD1,464,
Gene::266629,SEC14L3,465,
Gene::23541,SEC14L2,466,
Gene::284904,SEC14L4,467,
Gene::5565,PRKAB2,468,
Gene::1460,CSNK2B,469,
Gene::5564,PRKAB1,470,
Gene::2230,FDX1,471,
Gene::5148,PDE6G,472,
Gene::1610,DAO,473,
Gene::4170,MCL1,474,
Gene::5837,PYGM,475,
Gene::5834,PYGB,476,
Gene::116179,TGM7,477,
Gene::2992,GYG1,478,
Gene::23564,DDAH2,479,
Gene::5149,PDE6H,480,
Gene::4697,NDUFA4,481,
Gene::65061,CDK15,482,
Gene::7124,TNF,483,
Gene::4698,NDUFA5,484,
Gene::3030,HADHA,485,
Gene::51079,NDUFA13,486,
Gene::80777,CYB5B,487,
Gene::112724,RDH13,488,
Gene::4726,NDUFS6,489,
Gene::8604,SLC25A12,490,
Gene::4716,NDUFB10,491,
Gene::7417,VDAC2,492,
Gene::539,ATP5O,493,
Gene::4695,NDUFA2,494,
Gene::4701,NDUFA7,495,
Gene::1351,COX8A,496,
Gene::2182,ACSL4,497,
Gene::2180,ACSL1,498,
Gene::4725,NDUFS5,499,
Gene::4705,NDUFA10,500,
Gene::4707,NDUFB1,501,
Gene::4711,NDUFB5,502,
Gene::9377,COX5A,503,
Gene::1468,SLC25A10,504,
Gene::1345,COX6C,505,
Gene::6341,SCO1,506,
Gene::4713,NDUFB7,507,
Gene::1327,COX4I1,508,
Gene::10939,AFG3L2,509,
Gene::1374,CPT1A,510,
Gene::4720,NDUFS2,511,
Gene::2987,GUK1,512,
Gene::10038,PARP2,513,
Gene::4700,NDUFA6,514,
Gene::1350,COX7C,515,
Gene::4710,NDUFB4,516,
Gene::509,ATP5C1,517,
Gene::154,ADRB2,518,
Gene::9054,NFS1,519,
Gene::27089,UQCRQ,520,
Gene::6566,SLC16A1,521,
Gene::55662,HIF1AN,522,
Gene::4709,NDUFB3,523,
Gene::1376,CPT2,524,
Gene::55967,NDUFA12,525,
Gene::55349,CHDH,526,
Gene::11315,PARK7,527,
Gene::79896,THNSL1,528,
Gene::5163,PDK1,529,
Gene::2882,GPX7,530,
Gene::27165,GLS2,531,
Gene::5584,PRKCI,532,
Gene::2898,GRIK2,533,
Gene::9120,SLC16A6,534,
Gene::3739,KCNA4,535,
Gene::1742,DLG4,536,
Gene::5469,MED1,537,
Gene::3761,KCNJ4,538,
Gene::4141,MARS,539,
Gene::5743,PTGS2,541,
Gene::404203,SPINK6,542,
Gene::84617,TUBB6,543,
Gene::9132,KCNQ4,544,
Gene::3906,LALBA,545,
Gene::196,AHR,546,
Gene::27,ABL2,547,
Gene::229,ALDOB,548,
Gene::2194,FASN,549,
Gene::440,ASNS,550,
Gene::26227,PHGDH,551,
Gene::5536,PPP5C,552,
Gene::5468,PPARG,553,
Gene::2058,EPRS,554,
Gene::7407,VARS,555,
Gene::2643,GCH1,556,
Gene::5198,PFAS,557,
Gene::3297,HSF1,558,
Gene::1615,DARS,559,
Gene::1973,EIF4A1,560,
Gene::8175,SF3A2,561,
Gene::1808,DPYSL2,562,
Gene::4311,MME,563,
Gene::439,ASNA1,564,
Gene::5426,POLE,565,
Gene::5901,RAN,566,
Gene::5739,PTGIR,567,
Gene::4751,NEK2,568,
Gene::3741,KCNA5,569,
Gene::2560,GABRB1,570,
Gene::3751,KCND2,571,
Gene::221120,ALKBH3,572,
Gene::38,ACAT1,573,
Gene::64087,MCCC2,574,
Gene::10536,P3H3,575,
Gene::10808,HSPH1,576,
Gene::7314,UBB,577,
Gene::7852,CXCR4,578,
Gene::4792,NFKBIA,579,
Gene::6426,SRSF1,580,
Gene::10454,TAB1,581,
Gene::25,ABL1,582,
Gene::7280,TUBB2A,583,
Gene::4214,MAP3K1,584,
Gene::10381,TUBB3,585,
Gene::3146,HMGB1,586,
Gene::5684,PSMA3,587,
Gene::7345,UCHL1,588,
Gene::10376,TUBA1B,589,
Gene::4548,MTR,590,
Gene::6633,SNRPD2,591,
Gene::6241,RRM2,592,
Gene::10971,YWHAQ,593,
Gene::10056,FARSB,594,
Gene::2203,FBP1,595,
Gene::275,AMT,596,
Gene::2161,F12,597,
Gene::445,ASS1,598,
Gene::79608,RIC3,599,
Gene::349565,NMNAT3,600,
Gene::3717,JAK2,601,
Gene::5052,PRDX1,602,
Gene::6532,SLC6A4,603,
Gene::213,ALB,604,
Gene::573,BAG1,605,
Gene::5625,PRODH,606,
Gene::3354,HTR1E,607,
Gene::51520,LARS,608,
Gene::1373,CPS1,609,
Gene::7052,TGM2,610,
Gene::3551,IKBKB,611,
Gene::6197,RPS6KA3,612,
Gene::5520,PPP2R2A,613,
Gene::5683,PSMA2,614,
Gene::613,BCR,615,
Gene::3752,KCND3,616,
Gene::8565,YARS,617,
Gene::1384,CRAT,619,
Gene::51179,HAO2,620,
Gene::5265,SERPINA1,621,
Gene::3749,KCNC4,622,
Gene::7879,RAB7A,623,
Gene::10382,TUBB4A,624,
Gene::1387,CREBBP,625,
Gene::5499,PPP1CA,626,
Gene::3308,HSPA4,627,
Gene::2100,ESR2,628,
Gene::10097,ACTR2,629,
Gene::3043,HBB,630,
Gene::472,ATM,631,
Gene::5599,MAPK8,632,
Gene::10946,SF3A3,633,
Gene::817,CAMK2D,634,
Gene::4791,NFKB2,635,
Gene::5580,PRKCD,636,
Gene::5682,PSMA1,637,
Gene::6559,SLC12A3,638,
Gene::2923,PDIA3,639,
Gene::3306,HSPA2,640,
Gene::224,ALDH3A2,641,
Gene::5605,MAP2K2,642,
Gene::2261,FGFR3,643,
Gene::51477,ISYNA1,644,
Gene::2806,GOT2,645,
Gene::7536,SF1,646,
Gene::4193,MDM2,647,
Gene::1854,DUT,648,
Gene::788,SLC25A20,649,
Gene::4522,MTHFD1,650,
Gene::60,ACTB,651,
Gene::283,ANG,652,
Gene::23193,GANAB,653,
Gene::5092,PCBD1,654,
Gene::5111,PCNA,655,
Gene::1020,CDK5,656,
Gene::3939,LDHA,657,
Gene::498,ATP5A1,658,
Gene::3284,HSD3B2,659,
Gene::7153,TOP2A,660,
Gene::8722,CTSF,661,
Gene::5091,PC,662,
Gene::495,ATP4A,663,
Gene::7155,TOP2B,664,
Gene::4524,MTHFR,665,
Gene::3283,HSD3B1,666,
Gene::4677,NARS,667,
Gene::4947,OAZ2,668,
Gene::4953,ODC1,669,
Gene::113451,AZIN2,670,
Gene::623,BDKRB1,671,
Gene::4946,OAZ1,672,
Gene::5268,SERPINB5,673,
Gene::1382,CRABP2,674,
Gene::7051,TGM1,675,
Gene::220,ALDH1A3,676,
Gene::6278,S100A7,677,
Gene::6093,ROCK1,678,
Gene::6820,SULT2B1,679,
Gene::6317,SERPINB3,680,
Gene::5720,PSME1,681,
Gene::54600,UGT1A9,682,
Gene::4057,LTF,683,
Gene::57016,AKR1B10,684,
Gene::55,ACPP,685,
Gene::12,SERPINA3,686,
Gene::4199,ME1,687,
Gene::5650,KLK7,688,
Gene::7053,TGM3,689,
Gene::1890,TYMP,690,
Gene::3034,HAL,691,
Gene::5004,ORM1,692,
Gene::2266,FGG,693,
Gene::718,C3,694,
Gene::866,SERPINA6,695,
Gene::5066,PAM,696,
Gene::200895,DHFRL1,697,
Gene::5176,SERPINF1,698,
Gene::3033,HADH,699,
Gene::8851,CDK5R1,700,
Gene::4552,MTRR,701,
Gene::2740,GLP1R,702,
Gene::54681,P4HTM,703,
Gene::2512,FTL,704,
Gene::3426,CFI,705,
Gene::1318,SLC31A2,706,
Gene::51107,APH1A,707,
Gene::3249,HPN,708,
Gene::9568,GABBR2,709,
Gene::189,AGXT,710,
Gene::333,APLP1,711,
Gene::5479,PPIB,712,
Gene::4508,ATP6,713,
Gene::4539,ND4L,714,
Gene::10682,EBP,715,
Gene::5645,PRSS2,716,
Gene::1208,CLPS,717,
Gene::6866,TAC3,718,
Gene::6870,TACR3,719,
Gene::6869,TACR1,720,
Gene::6865,TACR2,721,
Gene::5731,PTGER1,722,
Gene::5733,PTGER3,723,
Gene::5737,PTGFR,724,
Gene::1968,EIF2S3,725,
Gene::3068,HDGF,726,
Gene::10988,METAP2,727,
Gene::1595,CYP51A1,728,
Gene::978,CDA,729,
Gene::6548,SLC9A1,730,
Gene::2324,FLT4,731,
Gene::3956,LGALS1,732,
Gene::54884,RETSAT,733,
Gene::5338,PLD2,734,
Gene::5291,PIK3CB,735,
Gene::1022,CDK7,736,
Gene::7150,TOP1,737,
Gene::6500,SKP1,738,
Gene::5687,PSMA6,739,
Gene::112398,EGLN2,740,
Gene::5644,PRSS1,741,
Gene::3718,JAK3,742,
Gene::7046,TGFBR1,743,
Gene::826,CAPNS1,744,
Gene::10499,NCOA2,745,
Gene::369,ARAF,746,
Gene::2671,GFER,747,
Gene::5770,PTPN1,748,
Gene::5315,PKM,749,
Gene::5594,MAPK1,750,
Gene::890,CCNA2,751,
Gene::11200,CHEK2,752,
Gene::1806,DPYD,753,
Gene::1195,CLK1,754,
Gene::6283,S100A12,755,
Gene::5888,RAD51,756,
Gene::841,CASP8,757,
Gene::949,SCARB1,758,
Gene::335,APOA1,759,
Gene::336,APOA2,760,
Gene::483,ATP1B3,761,
Gene::2859,GPR35,762,
Gene::56413,LTB4R2,763,
Gene::27163,NAAA,764,
Gene::1339,COX6A2,765,
Gene::2940,GSTA3,766,
Gene::2938,GSTA1,767,
Gene::2939,GSTA2,768,
Gene::9097,USP14,769,
Gene::1003,CDH5,770,
Gene::3176,HNMT,771,
Gene::3868,KRT16,772,
Gene::3853,KRT6A,773,
Gene::840,CASP7,774,
Gene::983,CDK1,775,
Gene::3856,KRT8,776,
Gene::3852,KRT5,777,
Gene::204,AK2,778,
Gene::3848,KRT1,779,
Gene::4538,ND4,780,
Gene::126328,NDUFA11,781,
Gene::55907,CMAS,782,
Gene::5423,POLB,783,
Gene::5781,PTPN11,784,
Gene::7374,UNG,785,
Gene::3619,INCENP,786,
Gene::8407,TAGLN2,787,
Gene::4772,NFATC1,788,
Gene::4350,MPG,789,
Gene::3980,LIG3,790,
Gene::142,PARP1,791,
Gene::9212,AURKB,792,
Gene::10606,PAICS,793,
Gene::11004,KIF2C,794,
Gene::5395,PMS2,795,
Gene::136,ADORA2B,796,
Gene::7165,TPD52L2,797,
Gene::100,ADA,798,
Gene::8974,P4HA2,799,
Gene::5034,P4HB,800,
Gene::1277,COL1A1,801,
Gene::2028,ENPEP,802,
Gene::183,AGT,803,
Gene::130,ADH6,804,
Gene::4985,OPRD1,805,
Gene::2770,GNAI1,806,
Gene::4986,OPRK1,807,
Gene::10723,SLC12A7,808,
Gene::912,CD1D,809,
Gene::2683,B4GALT1,810,
Gene::6727,SRP14,811,
Gene::1191,CLU,812,
Gene::6281,S100A10,813,
Gene::3832,KIF11,814,
Gene::1655,DDX5,815,
Gene::6868,ADAM17,816,
Gene::7170,TPM3,817,
Gene::24145,PANX1,818,
Gene::998,CDC42,819,
Gene::140465,MYL6B,820,
Gene::6277,S100A6,821,
Gene::6421,SFPQ,822,
Gene::2744,GLS,823,
Gene::3185,HNRNPF,824,
Gene::197,AHSG,825,
Gene::5868,RAB5A,826,
Gene::7168,TPM1,827,
Gene::1728,NQO1,828,
Gene::5879,RAC1,829,
Gene::4326,MMP17,830,
Gene::8170,SLC14A2,831,
Gene::6275,S100A4,832,
Gene::3857,KRT9,833,
Gene::5802,PTPRS,834,
Gene::833,CARS,835,
Gene::622,BDH1,836,
Gene::1147,CHUK,837,
Gene::3858,KRT10,838,
Gene::7171,TPM4,839,
Gene::3181,HNRNPA2B1,840,
Gene::10928,RALBP1,841,
Gene::3849,KRT2,842,
Gene::3458,IFNG,843,
Gene::1634,DCN,844,
Gene::3698,ITIH2,845,
Gene::6782,HSPA13,846,
Gene::1362,CPD,847,
Gene::4627,MYH9,848,
Gene::79784,MYH14,849,
Gene::10627,MYL12A,850,
Gene::6009,RHEB,851,
Gene::3855,KRT7,852,
Gene::3612,IMPA1,853,
Gene::53343,NUDT9,854,
Gene::3613,IMPA2,855,
Gene::59342,SCPEP1,856,
Gene::6285,S100B,857,
Gene::210,ALAD,858,
Gene::6777,STAT5B,859,
Gene::64175,P3H1,860,
Gene::3155,HMGCL,861,
Gene::8659,ALDH4A1,862,
Gene::847,CAT,863,
Gene::2170,FABP3,864,
Gene::51060,TXNDC12,865,
Gene::2356,FPGS,866,
Gene::8766,RAB11A,867,
Gene::22921,MSRB2,868,
Gene::8850,KAT2B,869,
Gene::5601,MAPK9,870,
Gene::1487,CTBP1,871,
Gene::1990,CELA1,872,
Gene::8204,NRIP1,873,
Gene::7068,THRB,874,
Gene::5347,PLK1,875,
Gene::4846,NOS3,876,
Gene::5300,PIN1,877,
Gene::51564,HDAC7,878,
Gene::5600,MAPK11,879,
Gene::10914,PAPOLA,880,
Gene::1786,DNMT1,881,
Gene::5467,PPARD,882,
Gene::5471,PPAT,883,
Gene::23475,QPRT,884,
Gene::5371,PML,885,
Gene::10524,KAT5,886,
Gene::1163,CKS1B,887,
Gene::331,XIAP,888,
Gene::3945,LDHB,889,
Gene::2862,MLNR,890,
Gene::2692,GHRHR,891,
Gene::5948,RBP2,892,
Gene::10901,DHRS4,893,
Gene::7276,TTR,894,
Gene::3938,LCT,895,
Gene::7421,VDR,896,
Gene::90,ACVR1,897,
Gene::3075,CFH,898,
Gene::7376,NR1H2,899,
Gene::8013,NR4A3,900,
Gene::387266,KRTAP5-3,901,
Gene::250,ALPP,902,
Gene::43,ACHE,903,
Gene::2475,MTOR,904,
Gene::10726,NUDC,905,
Gene::823,CAPN1,906,
