DrugBank ID,Common name
Compound::DB00136,Calcitriol
Compound::DB00137,Lutein
Compound::DB00138,Cystine
Compound::DB00139,Succinic acid
Compound::DB00140,Riboflavin
Compound::DB00141,N-Acetylglucosamine
Compound::DB00142,Glutamic acid
Compound::DB00143,Glutathione
Compound::DB00144,Phosphatidyl serine
Compound::DB00145,Glycine
Compound::DB00146,Calcifediol
Compound::DB00147,Pyridoxal
Compound::DB00148,Creatine
Compound::DB00149,Leucine
Compound::DB00150,Tryptophan
Compound::DB00151,Cysteine
Compound::DB00152,Thiamine
Compound::DB00153,Ergocalciferol
Compound::DB00154,Dihomo-gamma-linolenic acid
Compound::DB00155,Citrulline
Compound::DB00156,Threonine
Compound::DB00157,NADH
Compound::DB00158,Folic acid
Compound::DB00159,Icosapent
Compound::DB00160,Alanine
Compound::DB00161,Valine
Compound::DB00162,Vitamin A
Compound::DB00163,Vitamin E
Compound::DB00165,Pyridoxine
Compound::DB00166,Lipoic acid
Compound::DB00167,Isoleucine
Compound::DB00168,Aspartame
Compound::DB00169,Cholecalciferol
Compound::DB00170,Menadione
Compound::DB00171,ATP
Compound::DB00172,Proline
Compound::DB00173,Adenine
Compound::DB00174,Asparagine
Compound::DB00175,Pravastatin
Compound::DB00176,Fluvoxamine
Compound::DB00177,Valsartan
Compound::DB00178,Ramipril
Compound::DB00179,Masoprocol
Compound::DB00180,Flunisolide
Compound::DB00181,Baclofen
Compound::DB00182,Amphetamine
Compound::DB00183,Pentagastrin
Compound::DB00184,Nicotine
Compound::DB00185,Cevimeline
Compound::DB00186,Lorazepam
Compound::DB00187,Esmolol
Compound::DB00188,Bortezomib
Compound::DB00189,Ethchlorvynol
Compound::DB00190,Carbidopa
Compound::DB00191,Phentermine
Compound::DB00192,Indecainide
Compound::DB00193,Tramadol
Compound::DB00194,Vidarabine
Compound::DB00195,Betaxolol
Compound::DB00196,Fluconazole
Compound::DB00197,Troglitazone
Compound::DB00198,Oseltamivir
Compound::DB00199,Erythromycin
Compound::DB00200,Hydroxocobalamin
Compound::DB00201,Caffeine
Compound::DB00202,Succinylcholine
Compound::DB00203,Sildenafil
Compound::DB00204,Dofetilide
Compound::DB00205,Pyrimethamine
Compound::DB00206,Reserpine
Compound::DB00207,Azithromycin
Compound::DB00208,Ticlopidine
Compound::DB00209,Trospium
Compound::DB00210,Adapalene
Compound::DB00211,Midodrine
Compound::DB00212,Remikiren
Compound::DB00213,Pantoprazole
Compound::DB00214,Torasemide
Compound::DB00215,Citalopram
Compound::DB00216,Eletriptan
Compound::DB00217,Bethanidine
Compound::DB00218,Moxifloxacin
Compound::DB00219,Oxyphenonium
Compound::DB00220,Nelfinavir
Compound::DB00221,Isoetharine
Compound::DB00222,Glimepiride
Compound::DB00223,Diflorasone
Compound::DB00224,Indinavir
Compound::DB00225,Gadodiamide
Compound::DB00226,Guanadrel
Compound::DB00227,Lovastatin
Compound::DB00228,Enflurane
Compound::DB00229,Cefotiam
Compound::DB00230,Pregabalin
Compound::DB00231,Temazepam
Compound::DB00232,Methyclothiazide
Compound::DB00233,Aminosalicylic acid
Compound::DB00234,Reboxetine
Compound::DB00235,Milrinone
Compound::DB00236,Pipobroman
Compound::DB00237,Butabarbital
Compound::DB00238,Nevirapine
Compound::DB00239,Oxiconazole
Compound::DB00240,Alclometasone
Compound::DB00241,Butalbital
Compound::DB00242,Cladribine
Compound::DB00243,Ranolazine
Compound::DB00244,Mesalazine
Compound::DB00245,Benzatropine
Compound::DB00246,Ziprasidone
Compound::DB00247,Methysergide
Compound::DB00248,Cabergoline
Compound::DB00249,Idoxuridine
Compound::DB00250,Dapsone
Compound::DB00251,Terconazole
Compound::DB00252,Phenytoin
Compound::DB00253,Medrysone
Compound::DB00254,Doxycycline
Compound::DB00255,Diethylstilbestrol
Compound::DB00256,Lymecycline
Compound::DB00257,Clotrimazole
Compound::DB00258,Calcium acetate
Compound::DB00259,Sulfanilamide
Compound::DB00260,Cycloserine
Compound::DB00261,Anagrelide
Compound::DB00262,Carmustine
Compound::DB00263,Sulfisoxazole
Compound::DB00264,Metoprolol
Compound::DB00265,Crotamiton
Compound::DB00266,Dicoumarol
Compound::DB00267,Cefmenoxime
Compound::DB00268,Ropinirole
Compound::DB00269,Chlorotrianisene
Compound::DB00270,Isradipine
Compound::DB00271,Diatrizoate
Compound::DB00272,Betazole
Compound::DB00273,Topiramate
Compound::DB00274,Cefmetazole
Compound::DB00275,Olmesartan
Compound::DB00276,Amsacrine
Compound::DB00277,Theophylline
Compound::DB00278,Argatroban
Compound::DB00279,Liothyronine
Compound::DB00280,Disopyramide
Compound::DB00281,Lidocaine
Compound::DB00282,Pamidronic acid
Compound::DB00283,Clemastine
Compound::DB00284,Acarbose
Compound::DB00285,Venlafaxine
Compound::DB00286,Conjugated estrogens
Compound::DB00287,Travoprost
Compound::DB00288,Amcinonide
Compound::DB00289,Atomoxetine
Compound::DB00290,Bleomycin
Compound::DB00291,Chlorambucil
Compound::DB00292,Etomidate
Compound::DB00293,Raltitrexed
Compound::DB00294,Etonogestrel
Compound::DB00295,Morphine
Compound::DB00296,Ropivacaine
Compound::DB00297,Bupivacaine
Compound::DB00298,Dapiprazole
Compound::DB00299,Penciclovir
Compound::DB00300,Tenofovir disoproxil
Compound::DB00301,Flucloxacillin
Compound::DB00302,Tranexamic acid
Compound::DB00303,Ertapenem
Compound::DB00304,Desogestrel
Compound::DB00305,Mitomycin
Compound::DB00306,Talbutal
Compound::DB00307,Bexarotene
Compound::DB00308,Ibutilide
Compound::DB00309,Vindesine
Compound::DB00310,Chlorthalidone
Compound::DB00311,Ethoxzolamide
Compound::DB00312,Pentobarbital
Compound::DB00313,Valproic acid
Compound::DB00314,Capreomycin
Compound::DB00315,Zolmitriptan
Compound::DB00316,Acetaminophen
Compound::DB00317,Gefitinib
Compound::DB00318,Codeine
Compound::DB00319,Piperacillin
Compound::DB00320,Dihydroergotamine
Compound::DB00321,Amitriptyline
Compound::DB00322,Floxuridine
Compound::DB00323,Tolcapone
Compound::DB00324,Fluorometholone
Compound::DB00325,Nitroprusside
Compound::DB00326,Calcium glucoheptonate
Compound::DB00327,Hydromorphone
Compound::DB00328,Indomethacin
Compound::DB00330,Ethambutol
Compound::DB00331,Metformin
Compound::DB00332,Ipratropium
Compound::DB00333,Methadone
Compound::DB00334,Olanzapine
Compound::DB00335,Atenolol
Compound::DB00336,Nitrofural
Compound::DB00337,Pimecrolimus
Compound::DB00338,Omeprazole
Compound::DB00339,Pyrazinamide
Compound::DB00340,Metixene
Compound::DB00341,Cetirizine
Compound::DB00342,Terfenadine
Compound::DB00343,Diltiazem
Compound::DB00344,Protriptyline
Compound::DB00345,Aminohippuric acid
Compound::DB00346,Alfuzosin
Compound::DB00347,Trimethadione
Compound::DB00348,Nitisinone
Compound::DB00349,Clobazam
Compound::DB00350,Minoxidil
Compound::DB00351,Megestrol acetate
Compound::DB00352,Tioguanine
Compound::DB00353,Methylergometrine
Compound::DB00354,Buclizine
Compound::DB00355,Aztreonam
Compound::DB00356,Chlorzoxazone
Compound::DB00357,Aminoglutethimide
Compound::DB00358,Mefloquine
Compound::DB00359,Sulfadiazine
Compound::DB00360,Sapropterin
Compound::DB00361,Vinorelbine
Compound::DB00362,Anidulafungin
Compound::DB00363,Clozapine
Compound::DB00364,Sucralfate
Compound::DB00365,Grepafloxacin
Compound::DB00366,Doxylamine
Compound::DB00367,Levonorgestrel
Compound::DB00368,Norepinephrine
Compound::DB00369,Cidofovir
Compound::DB00370,Mirtazapine
Compound::DB00371,Meprobamate
Compound::DB00372,Thiethylperazine
Compound::DB00373,Timolol
Compound::DB00374,Treprostinil
Compound::DB00375,Colestipol
Compound::DB00376,Trihexyphenidyl
Compound::DB00377,Palonosetron
Compound::DB00378,Dydrogesterone
Compound::DB00379,Mexiletine
Compound::DB00380,Dexrazoxane
Compound::DB00381,Amlodipine
Compound::DB00382,Tacrine
Compound::DB00383,Oxyphencyclimine
Compound::DB00384,Triamterene
Compound::DB00385,Valrubicin
Compound::DB00387,Procyclidine
Compound::DB00388,Phenylephrine
Compound::DB00389,Carbimazole
Compound::DB00390,Digoxin
Compound::DB00391,Sulpiride
Compound::DB00392,Profenamine
Compound::DB00393,Nimodipine
Compound::DB00394,Beclomethasone dipropionate
Compound::DB00395,Carisoprodol
Compound::DB00396,Progesterone
Compound::DB00397,Phenylpropanolamine
Compound::DB00398,Sorafenib
Compound::DB00399,Zoledronic acid
Compound::DB00400,Griseofulvin
Compound::DB00401,Nisoldipine
Compound::DB00402,Eszopiclone
Compound::DB00403,Ceruletide
Compound::DB00404,Alprazolam
Compound::DB00405,Dexbrompheniramine
Compound::DB00406,Gentian violet cation
Compound::DB00407,Ardeparin
Compound::DB00408,Loxapine
Compound::DB00409,Remoxipride
Compound::DB00410,Mupirocin
Compound::DB00411,Carbamoylcholine
Compound::DB00412,Rosiglitazone
Compound::DB00413,Pramipexole
Compound::DB00414,Acetohexamide
Compound::DB00415,Ampicillin
Compound::DB00416,Metocurine iodide
Compound::DB00417,Phenoxymethylpenicillin
Compound::DB00418,Secobarbital
Compound::DB00419,Miglustat
Compound::DB00420,Promazine
Compound::DB00421,Spironolactone
Compound::DB00422,Methylphenidate
Compound::DB00423,Methocarbamol
Compound::DB00424,Hyoscyamine
Compound::DB00425,Zolpidem
Compound::DB00426,Famciclovir
Compound::DB00427,Triprolidine
Compound::DB00428,Streptozocin
Compound::DB00429,Carboprost tromethamine
Compound::DB00430,Cefpiramide
Compound::DB00431,Lindane
Compound::DB00432,Trifluridine
Compound::DB00433,Prochlorperazine
Compound::DB00434,Cyproheptadine
Compound::DB00435,Nitric Oxide
Compound::DB00436,Bendroflumethiazide
Compound::DB00437,Allopurinol
Compound::DB00438,Ceftazidime
Compound::DB00439,Cerivastatin
Compound::DB00440,Trimethoprim
Compound::DB00441,Gemcitabine
Compound::DB00442,Entecavir
Compound::DB00443,Betamethasone
Compound::DB00444,Teniposide
Compound::DB00445,Epirubicin
Compound::DB00446,Chloramphenicol
Compound::DB00447,Loracarbef
Compound::DB00448,Lansoprazole
Compound::DB00449,Dipivefrin
Compound::DB00450,Droperidol
Compound::DB00451,Levothyroxine
Compound::DB00452,Framycetin
Compound::DB00453,Clomocycline
Compound::DB00454,Meperidine
Compound::DB00455,Loratadine
Compound::DB00456,Cefalotin
Compound::DB00457,Prazosin
Compound::DB00458,Imipramine
Compound::DB00459,Acitretin
Compound::DB00460,Verteporfin
Compound::DB00461,Nabumetone
Compound::DB00462,Methscopolamine bromide
Compound::DB00463,Metharbital
Compound::DB00464,Sodium tetradecyl sulfate
Compound::DB00465,Ketorolac
Compound::DB00466,Picrotoxin
Compound::DB00467,Enoxacin
Compound::DB00468,Quinine
Compound::DB00469,Tenoxicam
Compound::DB00470,Dronabinol
Compound::DB00471,Montelukast
Compound::DB00472,Fluoxetine
Compound::DB00473,Hexylcaine
Compound::DB00474,Methohexital
Compound::DB00475,Chlordiazepoxide
Compound::DB00476,Duloxetine
Compound::DB00477,Chlorpromazine
Compound::DB00478,Rimantadine
Compound::DB00479,Amikacin
Compound::DB00480,Lenalidomide
Compound::DB00481,Raloxifene
Compound::DB00482,Celecoxib
Compound::DB00483,Gallamine triethiodide
Compound::DB00484,Brimonidine
Compound::DB00485,Dicloxacillin
Compound::DB00486,Nabilone
Compound::DB00487,Pefloxacin
Compound::DB00488,Altretamine
Compound::DB00489,Sotalol
Compound::DB00490,Buspirone
Compound::DB00491,Miglitol
Compound::DB00492,Fosinopril
Compound::DB00493,Cefotaxime
Compound::DB00494,Entacapone
Compound::DB00495,Zidovudine
Compound::DB00496,Darifenacin
Compound::DB00497,Oxycodone
Compound::DB00498,Phenindione
Compound::DB00499,Flutamide
Compound::DB00500,Tolmetin
Compound::DB00501,Cimetidine
Compound::DB00502,Haloperidol
Compound::DB00503,Ritonavir
Compound::DB00504,Levallorphan
Compound::DB00505,Tridihexethyl
Compound::DB00507,Nitazoxanide
Compound::DB00508,Triflupromazine
Compound::DB00509,Dextrothyroxine
Compound::DB00511,Acetyldigitoxin
Compound::DB00512,Vancomycin
Compound::DB00513,Aminocaproic acid
Compound::DB00514,Dextromethorphan
Compound::DB00515,Cisplatin
Compound::DB00516,Bentoquatam
Compound::DB00517,Anisotropine methylbromide
Compound::DB00518,Albendazole
Compound::DB00519,Trandolapril
Compound::DB00520,Caspofungin
Compound::DB00521,Carteolol
Compound::DB00522,Bentiromide
Compound::DB00523,Alitretinoin
Compound::DB00524,Metolazone
Compound::DB00525,Tolnaftate
Compound::DB00526,Oxaliplatin
Compound::DB00527,Cinchocaine
Compound::DB00528,Lercanidipine
Compound::DB00529,Foscarnet
Compound::DB00530,Erlotinib
Compound::DB00531,Cyclophosphamide
Compound::DB00532,Mephenytoin
Compound::DB00533,Rofecoxib
Compound::DB00534,Chlormerodrin
Compound::DB00535,Cefdinir
Compound::DB00536,Guanidine
Compound::DB00537,Ciprofloxacin
Compound::DB00538,Gadoversetamide
Compound::DB00539,Toremifene
Compound::DB00540,Nortriptyline
Compound::DB00541,Vincristine
Compound::DB00542,Benazepril
Compound::DB00543,Amoxapine
Compound::DB00544,Fluorouracil
Compound::DB00545,Pyridostigmine
Compound::DB00546,Adinazolam
Compound::DB00547,Desoximetasone
Compound::DB00548,Azelaic acid
Compound::DB00549,Zafirlukast
Compound::DB00550,Propylthiouracil
Compound::DB00551,Acetohydroxamic acid
Compound::DB00552,Pentostatin
Compound::DB00553,Methoxsalen
Compound::DB00554,Piroxicam
Compound::DB00555,Lamotrigine
Compound::DB00556,Perflutren
Compound::DB00557,Hydroxyzine
Compound::DB00558,Zanamivir
Compound::DB00559,Bosentan
Compound::DB00560,Tigecycline
Compound::DB00561,Doxapram
Compound::DB00562,Benzthiazide
Compound::DB00563,Methotrexate
Compound::DB00564,Carbamazepine
Compound::DB00565,Cisatracurium
Compound::DB00566,Succimer
Compound::DB00567,Cephalexin
Compound::DB00568,Cinnarizine
Compound::DB00569,Fondaparinux
Compound::DB00570,Vinblastine
Compound::DB00571,Propranolol
Compound::DB00572,Atropine
Compound::DB00573,Fenoprofen
Compound::DB00574,Fenfluramine
Compound::DB00575,Clonidine
Compound::DB00576,Sulfamethizole
Compound::DB00577,Valaciclovir
Compound::DB00578,Carbenicillin
Compound::DB00579,Mazindol
Compound::DB00580,Valdecoxib
Compound::DB00581,Lactulose
Compound::DB00582,Voriconazole
Compound::DB00583,Levocarnitine
Compound::DB00584,Enalapril
Compound::DB00585,Nizatidine
Compound::DB00586,Diclofenac
Compound::DB00587,Cinalukast
Compound::DB00588,Fluticasone propionate
Compound::DB00589,Lisuride
Compound::DB00590,Doxazosin
Compound::DB00591,Fluocinolone acetonide
Compound::DB00592,Piperazine
Compound::DB00593,Ethosuximide
Compound::DB00594,Amiloride
Compound::DB00595,Oxytetracycline
Compound::DB00596,Ulobetasol
Compound::DB00597,Gadoteridol
Compound::DB00598,Labetalol
Compound::DB00599,Thiopental
Compound::DB00600,Monobenzone
Compound::DB00601,Linezolid
Compound::DB00602,Ivermectin
Compound::DB00603,Medroxyprogesterone acetate
Compound::DB00604,Cisapride
Compound::DB00605,Sulindac
Compound::DB00606,Cyclothiazide
Compound::DB00607,Nafcillin
Compound::DB00608,Chloroquine
Compound::DB00609,Ethionamide
Compound::DB00610,Metaraminol
Compound::DB00611,Butorphanol
Compound::DB00612,Bisoprolol
Compound::DB00613,Amodiaquine
Compound::DB00614,Furazolidone
Compound::DB00615,Rifabutin
Compound::DB00616,Candoxatril
Compound::DB00617,Paramethadione
Compound::DB00618,Demeclocycline
Compound::DB00619,Imatinib
Compound::DB00620,Triamcinolone
Compound::DB00621,Oxandrolone
Compound::DB00622,Nicardipine
Compound::DB00623,Fluphenazine
Compound::DB00624,Testosterone
Compound::DB00625,Efavirenz
Compound::DB00626,Bacitracin
Compound::DB00627,Niacin
Compound::DB00628,Clorazepic acid
Compound::DB00629,Guanabenz
Compound::DB00630,Alendronic acid
Compound::DB00631,Clofarabine
Compound::DB00632,Docosanol
Compound::DB00633,Dexmedetomidine
Compound::DB00634,Sulfacetamide
Compound::DB00635,Prednisone
Compound::DB00636,Clofibrate
Compound::DB00637,Astemizole
Compound::DB00638,Inulin
Compound::DB00639,Butoconazole
Compound::DB00640,Adenosine
Compound::DB00641,Simvastatin
Compound::DB00642,Pemetrexed
Compound::DB00643,Mebendazole
Compound::DB00644,Gonadorelin
Compound::DB00645,Dyclonine
Compound::DB00646,Nystatin
Compound::DB00647,Dextropropoxyphene
Compound::DB00648,Mitotane
Compound::DB00649,Stavudine
Compound::DB00650,Leucovorin
Compound::DB00651,Dyphylline
Compound::DB00652,Pentazocine
Compound::DB00653,Magnesium sulfate
Compound::DB00654,Latanoprost
Compound::DB00655,Estrone
Compound::DB00656,Trazodone
Compound::DB00657,Mecamylamine
Compound::DB00658,Sevelamer
Compound::DB00659,Acamprosate
Compound::DB00660,Metaxalone
Compound::DB00661,Verapamil
Compound::DB00662,Trimethobenzamide
Compound::DB00663,Flumethasone
Compound::DB00664,Sulfametopyrazine
Compound::DB00665,Nilutamide
Compound::DB00666,Nafarelin
Compound::DB00668,Epinephrine
Compound::DB00669,Sumatriptan
Compound::DB00670,Pirenzepine
Compound::DB00671,Cefixime
Compound::DB00672,Chlorpropamide
Compound::DB00673,Aprepitant
Compound::DB00674,Galantamine
Compound::DB00675,Tamoxifen
Compound::DB00676,Benzyl benzoate
Compound::DB00677,Isoflurophate
Compound::DB00678,Losartan
Compound::DB00679,Thioridazine
Compound::DB00680,Moricizine
Compound::DB00681,Amphotericin B
Compound::DB00682,Warfarin
Compound::DB00683,Midazolam
Compound::DB00684,Tobramycin
Compound::DB00685,Trovafloxacin
Compound::DB00686,Pentosan polysulfate
Compound::DB00687,Fludrocortisone
Compound::DB00688,Mycophenolate mofetil
Compound::DB00689,Cephaloglycin
Compound::DB00690,Flurazepam
Compound::DB00691,Moexipril
Compound::DB00692,Phentolamine
Compound::DB00693,Fluorescein
Compound::DB00694,Daunorubicin
Compound::DB00695,Furosemide
Compound::DB00696,Ergotamine
Compound::DB00697,Tizanidine
Compound::DB00698,Nitrofurantoin
Compound::DB00699,Nicergoline
Compound::DB00700,Eplerenone
Compound::DB00701,Amprenavir
Compound::DB00702,Icodextrin
Compound::DB00703,Methazolamide
Compound::DB00704,Naltrexone
Compound::DB00705,Delavirdine
Compound::DB00706,Tamsulosin
Compound::DB00707,Porfimer sodium
Compound::DB00708,Sufentanil
Compound::DB00709,Lamivudine
Compound::DB00710,Ibandronate
Compound::DB00711,Diethylcarbamazine
Compound::DB00712,Flurbiprofen
Compound::DB00713,Oxacillin
Compound::DB00714,Apomorphine
Compound::DB00715,Paroxetine
Compound::DB00716,Nedocromil
Compound::DB00717,Norethisterone
Compound::DB00718,Adefovir dipivoxil
Compound::DB00719,Azatadine
Compound::DB00720,Clodronic acid
Compound::DB00721,Procaine
Compound::DB00722,Lisinopril
Compound::DB00723,Methoxamine
Compound::DB00724,Imiquimod
Compound::DB00725,Homatropine methylbromide
Compound::DB00726,Trimipramine
Compound::DB00727,Nitroglycerin
Compound::DB00728,Rocuronium
Compound::DB00730,Thiabendazole
Compound::DB00731,Nateglinide
Compound::DB00732,Atracurium besylate
Compound::DB00733,Pralidoxime
Compound::DB00734,Risperidone
Compound::DB00735,Naftifine
Compound::DB00736,Esomeprazole
Compound::DB00737,Meclizine
Compound::DB00738,Pentamidine
Compound::DB00739,Hetacillin
Compound::DB00740,Riluzole
Compound::DB00741,Hydrocortisone
Compound::DB00742,Mannitol
Compound::DB00743,Gadobenic acid
Compound::DB00744,Zileuton
Compound::DB00745,Modafinil
Compound::DB00746,Deferoxamine
Compound::DB00747,Scopolamine
Compound::DB00748,Carbinoxamine
Compound::DB00749,Etodolac
Compound::DB00750,Prilocaine
Compound::DB00751,Epinastine
Compound::DB00752,Tranylcypromine
Compound::DB00753,Isoflurane
Compound::DB00754,Ethotoin
Compound::DB00755,Tretinoin
Compound::DB00756,Hexachlorophene
Compound::DB00757,Dolasetron
Compound::DB00758,Clopidogrel
Compound::DB00759,Tetracycline
Compound::DB00760,Meropenem
Compound::DB00761,Potassium chloride
Compound::DB00762,Irinotecan
Compound::DB00763,Methimazole
Compound::DB00764,Mometasone
Compound::DB00765,Metyrosine
Compound::DB00766,Clavulanic acid
Compound::DB00767,Benzquinamide
Compound::DB00768,Olopatadine
Compound::DB00769,Hydrocortamate
Compound::DB00770,Alprostadil
Compound::DB00771,Clidinium
Compound::DB00772,Malathion
Compound::DB00773,Etoposide
Compound::DB00774,Hydroflumethiazide
Compound::DB00775,Tirofiban
Compound::DB00776,Oxcarbazepine
Compound::DB00777,Propiomazine
Compound::DB00778,Roxithromycin
Compound::DB00779,Nalidixic acid
Compound::DB00780,Phenelzine
Compound::DB00782,Propantheline
Compound::DB00783,Estradiol
Compound::DB00784,Mefenamic acid
Compound::DB00785,Cryptenamine
Compound::DB00786,Marimastat
Compound::DB00787,Acyclovir
Compound::DB00788,Naproxen
Compound::DB00789,Gadopentetic acid
Compound::DB00790,Perindopril
Compound::DB00791,Uracil mustard
Compound::DB00792,Tripelennamine
Compound::DB00793,Haloprogin
Compound::DB00794,Primidone
Compound::DB00795,Sulfasalazine
Compound::DB00796,Candesartan cilexetil
Compound::DB00797,Tolazoline
Compound::DB00798,Gentamicin
Compound::DB00799,Tazarotene
Compound::DB00800,Fenoldopam
Compound::DB00801,Halazepam
Compound::DB00802,Alfentanil
Compound::DB00803,Colistin
Compound::DB00804,Dicyclomine
Compound::DB00805,Minaprine
Compound::DB00806,Pentoxifylline
Compound::DB00807,Proparacaine
Compound::DB00808,Indapamide
Compound::DB00809,Tropicamide
Compound::DB00810,Biperiden
Compound::DB00811,Ribavirin
Compound::DB00812,Phenylbutazone
Compound::DB00813,Fentanyl
Compound::DB00814,Meloxicam
Compound::DB00815,Sodium lauryl sulfate
Compound::DB00816,Orciprenaline
Compound::DB00817,Rosoxacin
Compound::DB00818,Propofol
Compound::DB00819,Acetazolamide
Compound::DB00820,Tadalafil
Compound::DB00821,Carprofen
Compound::DB00822,Disulfiram
Compound::DB00823,Ethynodiol diacetate
Compound::DB00824,Enprofylline
Compound::DB00825,Levomenthol
Compound::DB00826,Natamycin
Compound::DB00827,Cinoxacin
Compound::DB00828,Fosfomycin
Compound::DB00829,Diazepam
Compound::DB00830,Phenmetrazine
Compound::DB00831,Trifluoperazine
Compound::DB00832,Phensuximide
Compound::DB00833,Cefaclor
Compound::DB00834,Mifepristone
Compound::DB00835,Brompheniramine
Compound::DB00836,Loperamide
Compound::DB00837,Progabide
Compound::DB00838,Clocortolone
Compound::DB00839,Tolazamide
Compound::DB00840,Hydroxypropyl cellulose
Compound::DB00841,Dobutamine
Compound::DB00842,Oxazepam
Compound::DB00843,Donepezil
Compound::DB00844,Nalbuphine
Compound::DB00845,Clofazimine
Compound::DB00846,Flurandrenolide
Compound::DB00847,Cysteamine
Compound::DB00848,Levamisole
Compound::DB00849,Methylphenobarbital
Compound::DB00850,Perphenazine
Compound::DB00851,Dacarbazine
Compound::DB00852,Pseudoephedrine
Compound::DB00853,Temozolomide
Compound::DB00854,Levorphanol
Compound::DB00855,Aminolevulinic acid
Compound::DB00856,Chlorphenesin
